timestamp,edges_intersection_rate,matched_paths,total_paths
20190121,0.9999263250957774,,
20190123,0.9884916681139682,,
20190128,0.9549967861699781,,
20190129,0.9911397931908459,,
20190130,0.9516970492909382,,
20190220,0.7942050363502265,,
20190225,0.9975212520559382,,
20190226,0.9997099201055002,,
20190227,0.9974308184456537,1734219.0,1738686.0
20190228,0.9944913950327146,1897053.0,1907561.0
20190303,0.9844186610490958,2175770.0,2210208.0
20190304,0.9955882398781137,2874545.0,2887283.0
20190306,0.9782089627773982,2899338.0,2963925.0
20190311,0.9490725612293262,3017636.0,3179563.0
20190312,0.9843293665871519,3064677.0,3113467.0
20190313,0.9775232831319453,3020762.0,3090220.0
20190314,0.9867149620205555,3016955.0,3057575.0
20190317,0.9132458960279738,2636003.0,2886411.0
20190318,0.9511817552952669,2601562.0,2735084.0
20190428,0.7951820658723473,1626498.0,2045441.0
20190429,0.9903994114153525,5104577,5154059
20190501,0.9782224452194704,5012538,5124129
20190506,0.9158380485740233,4561314,4980481
20190507,0.9763996870324431,4593610,4704641
20190508,0.9721758276844114,4518612,4647937
20190509,0.9559718189196103,4320637,4519628
20190617,0.7835405988311492,2858780,3648541
20190618,0.9936065264194351,5382608,5417243
20190619,0.9907562075704112,5348746,5398650
20190620,0.9867559300168862,5285494,5356435
20190623,0.9431323208688797,5128398,5437623
20190624,0.9735211902855414,5111216,5250236
20190626,0.9435878421832186,4850602,5140594
20190715,0.8174261990785843,3618118,4426232
20190716,0.9897374556989856,5469403,5526115
20190717,0.9953156065732081,5499698,5525582
20190718,0.9891787786487741,5532560,5593084
20190721,0.9780928578276896,5274220,5392351
20190722,0.995314547322512,5509495,5535431
20190724,0.9842701927243201,5406419,5492820
20190729,0.9518082716985451,5322588,5592080
20190730,0.986948465245765,5536092,5609302
20190731,0.9874465627428967,5488149,5557920
20190801,0.9924034008790967,5557073,5599611
20190804,0.9688157524035199,5374797,5547801
20190805,0.9882136303122399,5962801,6033919
20190807,0.9822353371175542,5888050,5994541
20190812,0.9642168921485377,5818266,6034188
20190813,0.9939067586122274,6220928,6259066
20190814,0.9887563897143288,6225846,6296643
20190815,0.9705931846124853,6061996,6245661
20190818,0.9494089434878337,5717353,6022013
20190819,0.9895861002394976,5890061,5952045
20190821,0.9686057703546429,5718015,5903346
20190826,0.9564990684566719,5448146,5695924
20190827,0.9929393979691129,5741963,5782793
20190828,0.9885717384684057,5924288,5992775
20190829,0.9940772447327776,5942555,5977961
20190901,0.9701946034783283,5749771,5926410
20190902,0.9851324061029687,5713765,5799997
20190904,0.9834306631350768,5684065,5779833
20190909,0.9588884026817556,5701794,5946254
20190910,0.9926755342335675,6128067,6173283
20190911,0.9883783823103893,6114336,6186230
20190912,0.9850943432330939,6023185,6114323
20190915,0.968831012819071,5935767,6126731
20190916,0.9927314536527903,6151932,6196975
20190918,0.9801994397701197,6069144,6191744
20190923,0.9564939204859572,5872052,6139142
20190924,0.9895732891086921,6064211,6128107
20190925,0.988660449342942,6073179,6142836
20190926,0.9853032094655055,6056111,6146444
20190929,0.977756382720065,5999916,6136412
20190930,0.9925372412021976,6152786,6199048
20191002,0.9815716769788707,5985895,6098276
20191007,0.9491786213075705,5733354,6040332
20191008,0.9850002971414987,5883983,5973585
